Governo   Data       PibR      ipca  eipca Cambio
Lula      01/01/2003 4423465.4 14.47 11.72 3.5250
Lula      01/02/2003 4412803.7 15.85 11.07 3.5624
Lula      01/03/2003 4421343.6 16.57 9.90  3.3523
Lula      01/04/2003 4437350.5 16.77 9.18  2.8890
Lula      01/05/2003 4456981.8 17.24 8.23  2.9648
Lula      01/06/2003 4504623.8 16.57 7.08  2.8712
Lula      01/07/2003 4545706.1 15.43 6.39  2.9647
Lula      01/08/2003 4576830.1 15.07 6.32  2.9657
Lula      01/09/2003 4611683.2 15.14 6.56  2.9226
Lula      01/10/2003 4668443.3 13.98 6.15  2.8554
Lula      01/11/2003 4704658.0 11.02 5.80  2.9486
Lula      01/12/2003 4732721.7 9.30  5.92  2.8884
Lula      01/01/2004 4742813.2 7.71  6.01  2.9401
Lula      01/02/2004 4741960.0 6.69  5.74  2.9130
Lula      01/03/2004 4775297.6 5.89  5.54  2.9078
Lula      01/04/2004 4806492.3 5.26  5.60  2.9439
Lula      01/05/2004 4835876.0 5.15  5.98  3.1283
Lula      01/06/2004 4867391.5 6.06  6.33  3.1067
Lula      01/07/2004 4885731.2 6.81  6.36  3.0260
Lula      01/08/2004 4914354.0 7.18  6.27  2.9330
Lula      01/09/2004 4946794.5 6.71  6.24  2.8578
Lula      01/10/2004 4966822.4 6.87  6.22  2.8557
Lula      01/11/2004 4992847.8 7.24  6.30  2.7299
Lula      01/12/2004 5012368.3 7.60  6.08  2.6536
Lula      01/01/2005 5032304.3 7.41  5.74  2.6240
Lula      01/02/2005 5049138.9 7.39  5.61  2.5942
Lula      01/03/2005 5062350.5 7.54  5.67  2.6654
Lula      01/04/2005 5065577.9 8.07  5.87  2.5305
Lula      01/05/2005 5085573.4 8.05  5.39  2.4030
Lula      01/06/2005 5128646.9 7.27  4.85  2.3496
Lula      01/07/2005 5149171.5 6.57  4.86  2.3897
Lula      01/08/2005 5186514.6 6.02  4.70  2.3629
Lula      01/09/2005 5206611.6 6.04  4.74  2.2214
Lula      01/10/2005 5213230.0 6.36  4.73  2.2535
Lula      01/11/2005 5229448.1 6.22  4.61  2.2062
Lula      01/12/2005 5258106.5 5.69  4.46  2.3399
Lula      01/01/2006 5275571.3 5.70  4.62  2.2152
Lula      01/02/2006 5294869.9 5.51  4.40  2.1347
Lula      01/03/2006 5313928.2 5.32  4.31  2.1716
Lula      01/04/2006 5328216.2 4.63  4.06  2.0884
Lula      01/05/2006 5371951.3 4.23  4.10  2.2997
Lula      01/06/2006 5419388.1 4.03  3.98  2.1635
Lula      01/07/2006 5461084.0 3.97  4.28  2.1754
Lula      01/08/2006 5510909.3 3.84  4.40  2.1380
Lula      01/09/2006 5549429.1 3.70  3.93  2.1734
Lula      01/10/2006 5592934.2 3.27  4.00  2.1422
Lula      01/11/2006 5633625.4 3.02  4.14  2.1660
Lula      01/12/2006 5658951.6 3.14  4.08  2.1372
Lula      01/01/2007 5692530.5 2.99  4.03  2.1239
Lula      01/02/2007 5724760.9 3.02  3.81  2.1174
Lula      01/03/2007 5767759.1 2.96  3.74  2.0496
Lula      01/04/2007 5823570.6 3.00  3.47  2.0331
Lula      01/05/2007 5873763.1 3.18  3.40  1.9281
Lula      01/06/2007 5925325.6 3.69  3.47  1.9254
Lula      01/07/2007 5974070.6 3.74  3.55  1.8768
Lula      01/08/2007 6003483.0 4.18  3.83  1.9612
Lula      01/09/2007 6041667.8 4.15  3.75  1.8381
Lula      01/10/2007 6084186.1 4.12  3.71  1.7432
Lula      01/11/2007 6111633.9 4.19  3.85  1.7829
Lula      01/12/2007 6116317.7 4.46  4.45  1.7705
Lula      01/01/2008 6141976.8 4.56  4.44  1.7595
Lula      01/02/2008 6179755.4 4.61  4.28  1.6825
Lula      01/03/2008 6203469.6 4.73  4.36  1.7483
Lula      01/04/2008 6245026.2 5.04  4.56  1.6864
Lula      01/05/2008 6257722.0 5.58  5.08  1.6286
Lula      01/06/2008 6290703.7 6.06  5.60  1.5911
Lula      01/07/2008 6344658.0 6.37  5.49  1.5658
Lula      01/08/2008 6401495.9 6.17  5.16  1.6336
Lula      01/09/2008 6483069.4 6.25  5.01  1.9135
Lula      01/10/2008 6537861.4 6.41  5.40  2.1145
Lula      01/11/2008 6575819.9 6.39  5.45  2.3323
Lula      01/12/2008 6602472.5 5.90  4.93  2.3362
Lula      01/01/2009 6596194.1 5.84  4.70  2.3154
Lula      01/02/2009 6582215.1 5.90  4.57  2.3776
Lula      01/03/2009 6614374.0 5.61  4.14  2.3144
Lula      01/04/2009 6604140.0 5.53  4.21  2.1775
Lula      01/05/2009 6600255.2 5.20  4.14  1.9722
Lula      01/06/2009 6598967.8 4.80  4.06  1.9508
Lula      01/07/2009 6604176.4 4.50  4.09  1.8718
Lula      01/08/2009 6623070.9 4.36  3.97  1.8856
Lula      01/09/2009 6640345.1 4.34  4.19  1.7773
Lula      01/10/2009 6671466.2 4.17  4.32  1.7432
Lula      01/11/2009 6717423.4 4.22  4.35  1.7497
Lula      01/12/2009 6783905.1 4.31  4.40  1.7404
Lula      01/01/2010 6813414.6 4.59  4.68  1.8740
