


n   Governo   Data       PibR      ipca  eipca Cambio
  1 Lula      01/01/2003 4423465.4 14.47 11.72 3.5250
  2 Lula      01/02/2003 4412803.7 15.85 11.07 3.5624
  3 Lula      01/03/2003 4421343.6 16.57 9.90  3.3523
  4 Lula      01/04/2003 4437350.5 16.77 9.18  2.8890
  5 Lula      01/05/2003 4456981.8 17.24 8.23  2.9648
  6 Lula      01/06/2003 4504623.8 16.57 7.08  2.8712
  7 Lula      01/07/2003 4545706.1 15.43 6.39  2.9647
  8 Lula      01/08/2003 4576830.1 15.07 6.32  2.9657
  9 Lula      01/09/2003 4611683.2 15.14 6.56  2.9226
 10 Lula      01/10/2003 4668443.3 13.98 6.15  2.8554
 11 Lula      01/11/2003 4704658.0 11.02 5.80  2.9486
 12 Lula      01/12/2003 4732721.7 9.30  5.92  2.8884
 13 Lula      01/01/2004 4742813.2 7.71  6.01  2.9401
 14 Lula      01/02/2004 4741960.0 6.69  5.74  2.9130
 15 Lula      01/03/2004 4775297.6 5.89  5.54  2.9078
 16 Lula      01/04/2004 4806492.3 5.26  5.60  2.9439
 17 Lula      01/05/2004 4835876.0 5.15  5.98  3.1283
 18 Lula      01/06/2004 4867391.5 6.06  6.33  3.1067
 19 Lula      01/07/2004 4885731.2 6.81  6.36  3.0260
 20 Lula      01/08/2004 4914354.0 7.18  6.27  2.9330
 21 Lula      01/09/2004 4946794.5 6.71  6.24  2.8578
 22 Lula      01/10/2004 4966822.4 6.87  6.22  2.8557
 23 Lula      01/11/2004 4992847.8 7.24  6.30  2.7299
 24 Lula      01/12/2004 5012368.3 7.60  6.08  2.6536
 25 Lula      01/01/2005 5032304.3 7.41  5.74  2.6240
 26 Lula      01/02/2005 5049138.9 7.39  5.61  2.5942
 27 Lula      01/03/2005 5062350.5 7.54  5.67  2.6654
 28 Lula      01/04/2005 5065577.9 8.07  5.87  2.5305
 29 Lula      01/05/2005 5085573.4 8.05  5.39  2.4030
 30 Lula      01/06/2005 5128646.9 7.27  4.85  2.3496
 31 Lula      01/07/2005 5149171.5 6.57  4.86  2.3897
 32 Lula      01/08/2005 5186514.6 6.02  4.70  2.3629
 33 Lula      01/09/2005 5206611.6 6.04  4.74  2.2214
 34 Lula      01/10/2005 5213230.0 6.36  4.73  2.2535
 35 Lula      01/11/2005 5229448.1 6.22  4.61  2.2062
 36 Lula      01/12/2005 5258106.5 5.69  4.46  2.3399
 37 Lula      01/01/2006 5275571.3 5.70  4.62  2.2152
 38 Lula      01/02/2006 5294869.9 5.51  4.40  2.1347
 39 Lula      01/03/2006 5313928.2 5.32  4.31  2.1716
 40 Lula      01/04/2006 5328216.2 4.63  4.06  2.0884
 41 Lula      01/05/2006 5371951.3 4.23  4.10  2.2997
 42 Lula      01/06/2006 5419388.1 4.03  3.98  2.1635
 43 Lula      01/07/2006 5461084.0 3.97  4.28  2.1754
 44 Lula      01/08/2006 5510909.3 3.84  4.40  2.1380
 45 Lula      01/09/2006 5549429.1 3.70  3.93  2.1734
 46 Lula      01/10/2006 5592934.2 3.27  4.00  2.1422
 47 Lula      01/11/2006 5633625.4 3.02  4.14  2.1660
 48 Lula      01/12/2006 5658951.6 3.14  4.08  2.1372
 49 Lula      01/01/2007 5692530.5 2.99  4.03  2.1239
 50 Lula      01/02/2007 5724760.9 3.02  3.81  2.1174
 51 Lula      01/03/2007 5767759.1 2.96  3.74  2.0496
 52 Lula      01/04/2007 5823570.6 3.00  3.47  2.0331
 53 Lula      01/05/2007 5873763.1 3.18  3.40  1.9281
 54 Lula      01/06/2007 5925325.6 3.69  3.47  1.9254
 55 Lula      01/07/2007 5974070.6 3.74  3.55  1.8768
 56 Lula      01/08/2007 6003483.0 4.18  3.83  1.9612
 57 Lula      01/09/2007 6041667.8 4.15  3.75  1.8381
 58 Lula      01/10/2007 6084186.1 4.12  3.71  1.7432
 59 Lula      01/11/2007 6111633.9 4.19  3.85  1.7829
 60 Lula      01/12/2007 6116317.7 4.46  4.45  1.7705
 61 Lula      01/01/2008 6141976.8 4.56  4.44  1.7595
 62 Lula      01/02/2008 6179755.4 4.61  4.28  1.6825
 63 Lula      01/03/2008 6203469.6 4.73  4.36  1.7483
 64 Lula      01/04/2008 6245026.2 5.04  4.56  1.6864
 65 Lula      01/05/2008 6257722.0 5.58  5.08  1.6286
 66 Lula      01/06/2008 6290703.7 6.06  5.60  1.5911
 67 Lula      01/07/2008 6344658.0 6.37  5.49  1.5658
 68 Lula      01/08/2008 6401495.9 6.17  5.16  1.6336
 69 Lula      01/09/2008 6483069.4 6.25  5.01  1.9135
 70 Lula      01/10/2008 6537861.4 6.41  5.40  2.1145
 71 Lula      01/11/2008 6575819.9 6.39  5.45  2.3323
 72 Lula      01/12/2008 6602472.5 5.90  4.93  2.3362
 73 Lula      01/01/2009 6596194.1 5.84  4.70  2.3154
 74 Lula      01/02/2009 6582215.1 5.90  4.57  2.3776
 75 Lula      01/03/2009 6614374.0 5.61  4.14  2.3144
 76 Lula      01/04/2009 6604140.0 5.53  4.21  2.1775
 77 Lula      01/05/2009 6600255.2 5.20  4.14  1.9722
 78 Lula      01/06/2009 6598967.8 4.80  4.06  1.9508
 79 Lula      01/07/2009 6604176.4 4.50  4.09  1.8718
 80 Lula      01/08/2009 6623070.9 4.36  3.97  1.8856
 81 Lula      01/09/2009 6640345.1 4.34  4.19  1.7773
 82 Lula      01/10/2009 6671466.2 4.17  4.32  1.7432
 83 Lula      01/11/2009 6717423.4 4.22  4.35  1.7497
 84 Lula      01/12/2009 6783905.1 4.31  4.40  1.7404
 85 Lula      01/01/2010 6813414.6 4.59  4.68  1.8740
 86 Lula      01/02/2010 6842578.1 4.83  4.66  1.8102
 87 Lula      01/03/2010 6906511.8 5.17  4.70  1.7802
 88 Lula      01/04/2010 6962987.0 5.26  4.86  1.7298
 89 Lula      01/05/2010 7026376.4 5.22  4.88  1.8159
 90 Lula      01/06/2010 7115501.2 4.84  4.74  1.8007
 91 Lula      01/07/2010 7208429.6 4.60  4.82  1.7564
 92 Lula      01/08/2010 7303969.1 4.49  4.98  1.7552
 93 Lula      01/09/2010 7365127.6 4.70  5.31  1.6934
 94 Lula      01/10/2010 7391814.1 5.20  5.42  1.7006
 95 Lula      01/11/2010 7428595.5 5.64  5.61  1.7153
 96 Lula      01/12/2010 7467786.0 5.91  5.52  1.6654
 97 Dilma     01/01/2011 7488654.6 5.99  5.67  1.6726
 98 Dilma     01/02/2011 7521808.0 6.01  5.61  1.6604
 99 Dilma     01/03/2011 7534076.0 6.30  5.61  1.6279
100 Dilma     01/04/2011 7556497.7 6.51  5.60  1.5725
101 Dilma     01/05/2011 7618106.1 6.55  5.17  1.5791
102 Dilma     01/06/2011 7694164.7 6.71  5.02  1.5603
103 Dilma     01/07/2011 7752885.2 6.87  5.35  1.5555
104 Dilma     01/08/2011 7802532.6 7.23  5.47  1.5864
105 Dilma     01/09/2011 7822640.9 7.31  5.80  1.8536
106 Dilma     01/10/2011 7849008.4 6.97  5.56  1.6878
107 Dilma     01/11/2011 7868450.1 6.64  5.53  1.8102
108 Dilma     01/12/2011 7896944.9 6.50  5.35  1.8751
109 Dilma     01/01/2012 7918642.6 6.22  5.30  1.7385
110 Dilma     01/02/2012 7946053.0 5.85  5.26  1.7086
111 Dilma     01/03/2012 8002739.9 5.24  5.43  1.8215
112 Dilma     01/04/2012 8007221.9 5.10  5.57  1.8912
113 Dilma     01/05/2012 8037782.5 4.99  5.52  2.0217
114 Dilma     01/06/2012 8087016.7 4.92  5.38  2.0207
115 Dilma     01/07/2012 8125593.9 5.20  5.58  2.0494
116 Dilma     01/08/2012 8169125.3 5.24  5.68  2.0366
117 Dilma     01/09/2012 8179446.7 5.28  5.64  2.0300
118 Dilma     01/10/2012 8213807.3 5.45  5.47  2.0308
119 Dilma     01/11/2012 8225069.0 5.53  5.36  2.1068
120 Dilma     01/12/2012 8208703.5 5.84  5.63  2.0429
121 Dilma     01/01/2013 8214268.8 6.15  5.70  1.9877
122 Dilma     01/02/2013 8216641.2 6.31  5.50  1.9749
123 Dilma     01/03/2013 8239869.3 6.59  5.53  2.0132
124 Dilma     01/04/2013 8295634.4 6.49  5.56  2.0011
125 Dilma     01/05/2013 8330466.5 6.50  5.62  2.1314
126 Dilma     01/06/2013 8373913.6 6.70  5.74  2.2150
127 Dilma     01/07/2013 8443406.1 6.27  5.66  2.2897
128 Dilma     01/08/2013 8480933.1 6.09  6.06  2.3719
129 Dilma     01/09/2013 8525402.4 5.86  6.16  2.2294
130 Dilma     01/10/2013 8549452.9 5.84  6.25  2.2020
131 Dilma     01/11/2013 8574566.4 5.77  6.14  2.3243
132 Dilma     01/12/2013 8582596.7 5.91  6.11  2.3420
133 Dilma     01/01/2014 8606713.9 5.59  6.02  2.4257
134 Dilma     01/02/2014 8639010.7 5.68  6.17  2.3327
135 Dilma     01/03/2014 8627324.4 6.15  6.42  2.2624
136 Dilma     01/04/2014 8621891.1 6.28  6.22  2.2354
137 Dilma     01/05/2014 8644629.3 6.38  6.03  2.2384
138 Dilma     01/06/2014 8651437.1 6.52  6.01  2.2019
139 Dilma     01/07/2014 8703783.8 6.50  5.95  2.2668
140 Dilma     01/08/2014 8728495.8 6.51  6.15  2.2390
141 Dilma     01/09/2014 8746273.5 6.75  6.33  2.4504
142 Dilma     01/10/2014 8760724.7 6.59  6.41  2.4436
143 Dilma     01/11/2014 8759271.2 6.56  6.56  2.5595
144 Dilma     01/12/2014 8742508.2 6.41  6.73  2.6556
145 Dilma     01/01/2015 8667309.1 7.14  6.97  2.6617
146 Dilma     01/02/2015 8579263.9 7.70  6.88  2.8777
147 Dilma     01/03/2015 8523194.3 8.13  7.01  3.2074
148 Dilma     01/04/2015 8488192.7 8.17  6.17  2.9930
149 Dilma     01/05/2015 8441788.3 8.47  6.11  3.1781
150 Dilma     01/06/2015 8417246.6 8.89  6.38  3.1019
151 Dilma     01/07/2015 8394515.9 9.56  5.98  3.3934
152 Dilma     01/08/2015 8400752.9 9.53  5.66  3.6461
153 Dilma     01/09/2015 8366979.3 9.49  6.15  3.9722
154 Dilma     01/10/2015 8316073.5 9.93  6.72  3.8582
155 Dilma     01/11/2015 8253646.1 10.48 7.16  3.8499
156 Dilma     01/12/2015 8195764.0 10.67 7.19  3.9042
157 Dilma     01/01/2016 8103180.4 10.71 7.29  4.0422
158 Dilma     01/02/2016 8062477.5 10.36 7.01  3.9790
159 Dilma     01/03/2016 8044532.3 9.39  6.52  3.5583
160 Dilma     01/04/2016 8027059.4 9.28  6.21  3.4502
161 Dilma     01/05/2016 7996702.8 9.32  6.17  3.5945
162 Dilma     01/06/2016 8009676.4 8.84  6.01  3.2092
163 Dilma     01/07/2016 7987181.0 8.74  5.70  3.2384
164 Temer     01/08/2016 7990553.9 8.97  5.44  3.2397
165 Temer     01/09/2016 8016313.8 8.48  5.07  3.2456
166 Temer     01/10/2016 8019249.1 7.87  4.87  3.1805
167 Temer     01/11/2016 8046801.4 6.99  4.80  3.3961
168 Temer     01/12/2016 8062686.6 6.29  4.69  3.2585
169 Temer     01/01/2017 8072468.3 5.35  4.71  3.1264
170 Temer     01/02/2017 8072687.8 4.76  4.53  3.0987
171 Temer     01/03/2017 8094738.1 4.57  4.45  3.1678
172 Temer     01/04/2017 8104994.4 4.08  4.45  3.1978
173 Temer     01/05/2017 8123455.4 3.60  4.64  3.2431
174 Temer     01/06/2017 8168317.7 3.00  4.12  3.3076
175 Temer     01/07/2017 8182184.2 2.71  4.47  3.1301
176 Temer     01/08/2017 8198606.1 2.46  4.37  3.1465
177 Temer     01/09/2017 8210612.9 2.54  3.89  3.1674
178 Temer     01/10/2017 8212611.4 2.70  4.14  3.2763
179 Temer     01/11/2017 8224751.4 2.80  3.99  3.2610
180 Temer     01/12/2017 8226800.9 2.95  3.80  3.3074
181 Temer     01/01/2018 8251273.4 2.86  3.98  3.1618
182 Temer     01/02/2018 8260551.1 2.84  3.92  3.2443
183 Temer     01/03/2018 8288302.5 2.68  3.86  3.3232
184 Temer     01/04/2018 8331761.8 2.76  4.07  3.4805
185 Temer     01/05/2018 8312304.0 2.85  4.35  3.7364
186 Temer     01/06/2018 8259838.2 4.39  4.77  3.8552
187 Temer     01/07/2018 8285714.9 4.48  3.74  3.7543
188 Temer     01/08/2018 8345515.0 4.19  3.65  4.1347
189 Temer     01/09/2018 8344861.5 4.53  4.14  4.0033
190 Temer     01/10/2018 8360232.5 4.56  4.02  3.7171
191 Temer     01/11/2018 8418857.1 4.05  3.40  3.8627
192 Temer     01/12/2018 8433916.6 3.75  3.68  3.8742
193 Bolsonaro 01/01/2019 8439061.7 3.78  3.98  3.6513
194 Bolsonaro 01/02/2019 8447426.2 3.89  3.94  3.7379
195 Bolsonaro 01/03/2019 8400915.7 4.58  3.98  3.8961
196 Bolsonaro 01/04/2019 8385052.8 4.94  3.72  3.9447
197 Bolsonaro 01/05/2019 8438501.7 4.66  3.54  3.9401
198 Bolsonaro 01/06/2019 8453640.8 3.37  3.49  3.8316
199 Bolsonaro 01/07/2019 8484948.6 3.22  3.65  3.7643
200 Bolsonaro 01/08/2019 8511241.1 3.43  3.49  4.1379
201 Bolsonaro 01/09/2019 8564182.2 2.89  3.34  4.1638
202 Bolsonaro 01/10/2019 8599387.2 2.54  3.37  4.0035
203 Bolsonaro 01/11/2019 8589673.1 3.27  3.81  4.2234
204 Bolsonaro 01/12/2019 8499930.8 4.31  4.10  4.0301
205 Bolsonaro 01/01/2020 8514802.5 4.19  3.44  4.2689
206 Bolsonaro 01/02/2020 8532294.3 4.00  3.46  4.4981
207 Bolsonaro 01/03/2020 8553738.1 3.30  3.13  5.1981
208 Bolsonaro 01/04/2020 8517237.5 2.40  2.50  5.4264
209 Bolsonaro 01/05/2020 8492924.3 1.88  2.67  5.4257
210 Bolsonaro 01/06/2020 8468552.5 2.13  3.22  5.4754
211 Bolsonaro 01/07/2020 8435375.0 2.31  3.20  5.2027
212 Bolsonaro 01/08/2020 8408211.5 2.44  3.14  5.4707
213 Bolsonaro 01/09/2020 8373077.8 3.14  3.37  5.6401
214 Bolsonaro 01/10/2020 8314592.5 3.92  3.92  5.7712
215 Bolsonaro 01/11/2020 8272563.9 4.31  4.11  5.3311
216 Bolsonaro 01/12/2020 8218937.4 4.52  4.10  5.1961
217 Bolsonaro 01/01/2021 8249909.8 4.56  3.57  5.4753
218 Bolsonaro 01/02/2021 8251792.2 5.20  3.99  5.5296
219 Bolsonaro 01/03/2021 8291325.6 6.10  4.50  5.6967
220 Bolsonaro 01/04/2021 8433419.5 6.76  4.10  5.4030
221 Bolsonaro 01/05/2021 8517358.2 8.06  4.45  5.2316
222 Bolsonaro 01/06/2021 8597966.8 8.35  4.47  5.0016
223 Bolsonaro 01/07/2021 8635896.0 8.99  4.89  5.1210
224 Bolsonaro 01/08/2021 8681782.1 9.68  4.82  5.1427
225 Bolsonaro 01/09/2021 8682559.6 10.25 5.35  5.4388
226 Bolsonaro 01/10/2021 8659690.0 10.67 5.51  5.6424
227 Bolsonaro 01/11/2021 8663367.2 10.74 5.89  5.6193
228 Bolsonaro 01/12/2021 8674463.1 10.06 5.90  5.5799
