IPA-10ago1994=100	IPA-10
307.130	22.403
315.342	23.002
320.823	23.401
324.815	23.693
323.454	23.593
318.639	23.242
315.040	22.980
314.743	22.958
318.718	23.248
321.036	23.417
322.723	23.540
324.726	23.686
327.598	23.896
330.340	24.096
334.588	24.406
339.781	24.784
345.285	25.186
351.384	25.631
356.803	26.026
360.109	26.267
365.878	26.688
366.792	26.755
370.526	27.027
373.784	27.265
374.799	27.339
375.429	27.385
378.050	27.576
383.470	27.971
381.835	27.852
377.627	27.545
375.219	27.369
372.309	27.157
368.914	26.909
371.013	27.062
372.225	27.151
371.614	27.106
375.440	27.385
375.760	27.409
375.323	27.377
371.206	27.076
372.552	27.175
375.417	27.384
377.692	27.550
378.871	27.636
380.562	27.759
381.566	27.832
387.099	28.236
389.264	28.394
390.252	28.466
390.886	28.512
392.480	28.628
392.612	28.638
392.590	28.636
392.210	28.609
392.599	28.637
395.859	28.875
404.009	29.469
409.859	29.896
413.890	30.190
422.787	30.839
427.722	31.199
431.579	31.480
435.167	31.742
436.679	31.852
445.013	32.460
454.868	33.179
466.401	34.020
467.554	34.104
464.068	33.850
468.613	34.182
472.402	34.458
471.366	34.382
464.315	33.868
466.736	34.045
464.098	33.852
458.407	33.437
458.696	33.458
456.895	33.327
453.808	33.102
449.085	32.757
451.165	32.909
451.558	32.938
451.925	32.964
450.812	32.883
451.115	32.905
456.323	33.285
462.442	33.731
464.803	33.904
471.034	34.358
478.929	34.934
479.049	34.943
482.654	35.206
490.512	35.779
497.906	36.318
505.315	36.859
512.698	37.397
514.515	37.530
520.468	37.964
525.643	38.341
528.204	38.528
529.567	38.628
525.931	38.362
524.827	38.282
526.210	38.383
530.038	38.662
534.316	38.974
536.905	39.163
536.767	39.153
535.299	39.046
534.297	38.973
535.574	39.066
539.645	39.363
546.172	39.839
550.137	40.128
556.975	40.627
569.265	41.523
577.242	42.105
579.535	42.272
576.261	42.034
580.054	42.310
582.041	42.455
582.356	42.478
582.996	42.525
582.632	42.498
580.342	42.331
582.845	42.514
585.725	42.724
586.851	42.806
595.407	43.430
604.193	44.071
606.590	44.246
608.888	44.413
612.228	44.657
612.630	44.686
622.729	45.423
631.556	46.067
630.191	45.967
621.279	45.317
614.909	44.853
609.295	44.443
611.437	44.599
610.473	44.529
616.945	45.001
624.162	45.528
625.487	45.624
625.683	45.639
630.401	45.983
639.559	46.651
642.933	46.897
645.114	47.056
649.636	47.386
651.148	47.496
656.475	47.885
673.696	49.141
688.181	50.197
693.688	50.599
698.069	50.919
709.888	51.781
713.894	52.073
716.412	52.256
720.975	52.589
734.586	53.582
743.598	54.239
739.346	53.929
742.257	54.142
743.138	54.206
742.712	54.175
744.339	54.294
752.411	54.882
752.169	54.865
751.246	54.797
741.540	54.089
728.619	53.147
720.076	52.524
710.605	51.833
707.620	51.615
711.454	51.895
716.221	52.243
717.710	52.351
726.485	52.991
734.220	53.555
734.883	53.604
739.539	53.943
744.714	54.321
756.226	55.161
775.145	56.541
782.803	57.099
787.839	57.467
801.724	58.479
817.144	59.604
814.091	59.381
799.226	58.297
794.518	57.954
797.734	58.188
813.122	59.311
822.801	60.017
829.683	60.519
835.679	60.956
841.719	61.397
834.693	60.884
829.963	60.539
839.591	61.241
841.697	61.395
860.737	62.784
872.596	63.649
870.953	63.529
879.007	64.116
892.388	65.093
894.616	65.255
915.681	66.792
938.948	68.489
970.705	70.805
1028.880	75.049
1070.690	78.098
1119.783	81.679
1145.173	83.531
1163.516	84.869
1208.903	88.180
1253.518	91.434
1275.954	93.071
1329.490	96.976
1364.606	99.537
1363.596	99.463
1381.226	100.749
1370.676	99.980
1360.102	99.209
1377.953	100.511
1370.953	100.000
