IPA-DI	IPPBR	IPPUS
301.1020	22.91373049	56.06245
306.2500	23.30549104	57.01547
312.1590	23.75516336	58.50716
312.3750	23.77160086	56.68399
307.1320	23.37261085	56.64255
303.5630	23.10101152	57.18121
301.7640	22.9641084	57.05691
303.8830	23.12536338	57.18121
307.7980	23.42329316	57.38839
309.3280	23.53972549	57.71988
310.7390	23.64710198	57.55414
313.0330	23.82167437	57.80275
315.3950	24.00142154	58.59003
319.8800	24.34272808	58.88008
323.3610	24.60763066	59.29443
328.4220	24.99277054	59.99884
334.0230	25.41900419	60.82755
339.2720	25.8184508	60.9933
343.8450	26.1664541	61.07617
349.2950	26.58119671	61.32478
351.5720	26.75447542	61.20047
353.7250	26.91831777	62.15349
357.2580	27.18717753	62.73359
358.9700	27.31745998	62.23637
359.2400	27.33800686	62.52642
360.6390	27.44447015	62.81646
364.7480	27.75716325	63.68661
365.9640	27.84970032	64.22528
362.3600	27.5754375	63.93523
359.5300	27.36007573	63.93523
357.0560	27.17180542	64.76394
353.3320	26.88841065	65.3026
352.3510	26.81375697	67.20865
355.1260	27.02493326	68.86607
355.9940	27.09098768	67.83018
355.5010	27.0534706	67.54013
358.3670	27.27157194	68.07879
357.9290	27.23824033	67.0429
355.0120	27.01625791	67.20865
354.4630	26.97447925	68.07879
356.0850	27.09791274	68.70033
359.8500	27.38442759	68.82464
360.4490	27.43001123	69.11469
362.3740	27.57650289	69.57048
363.3780	27.65290685	68.53459
367.6080	27.974808	67.20865
370.3690	28.18491889	68.2031
370.7630	28.21490212	68.61746
371.9550	28.3056128	67.95449
372.6790	28.36070888	69.11469
373.0800	28.39122481	70.15058
373.1480	28.39639958	71.02073
373.0170	28.38643053	71.808
373.3670	28.41306538	72.01518
374.9420	28.53292219	72.55385
382.2740	29.09088419	71.43508
388.5340	29.56726745	71.89088
392.4940	29.86862172	72.3881
398.1990	30.30276972	74.16984
405.7670	30.87869121	74.00409
410.1550	31.21261609	74.99855
412.2680	31.37341447	75.70296
415.5780	31.62530402	77.85761
420.9680	32.03548066	79.10068
430.3210	32.74723987	81.46251
440.1830	33.49773376	83.0785
445.8300	33.92746798	85.15029
442.2740	33.65685794	82.45697
444.2190	33.80487159	81.58682
450.2610	34.26466515	77.23608
449.4910	34.20606848	73.25825
445.5520	33.90631231	70.81355
444.0920	33.79520695	70.93785
442.7200	33.69079835	70.15058
436.2700	33.19995617	69.65335
435.8260	33.16616796	70.06771
435.4020	33.13390175	70.77211
432.6160	32.92188836	72.13949
427.5830	32.53887927	71.47652
427.8970	32.56277453	72.51241
429.1230	32.65607259	72.13949
428.7840	32.63027484	72.59528
428.6180	32.61764231	73.50687
427.3950	32.52457255	73.79692
431.4910	32.83627636	75.37147
437.4300	33.28823166	74.99855
439.7240	33.46280406	75.95157
442.7210	33.69087444	76.40736
451.8340	34.38436976	76.5731
453.7880	34.5330683	76.03444
455.3390	34.65109873	76.28306
463.1010	35.24178353	76.61454
469.9230	35.76093475	76.61454
476.1390	36.23396963	77.31895
485.5750	36.9520451	77.77474
486.5910	37.02936226	78.60345
491.2670	37.38520381	79.84652
497.3050	37.84469297	81.13103
500.3020	38.07276336	82.53984
501.5250	38.16583312	84.15583
498.3780	37.9263478	84.57019
497.4150	37.85306392	84.48732
496.7490	37.80238161	84.77737
500.5630	38.09262534	84.19727
505.2830	38.45181528	84.40445
507.6890	38.63491083	83.32712
509.4290	38.76732407	83.45142
506.6150	38.5531799	82.78845
506.6820	38.55827857	83.16138
506.5220	38.54610264	83.5343
509.3050	38.75788772	84.61162
515.6550	39.24111994	84.40445
520.3230	39.5963527	83.6586
524.9760	39.95044396	82.78845
536.1600	40.80154147	82.91276
545.6260	41.52189993	83.99009
551.6560	41.98078029	84.69449
547.9060	41.69540693	84.32157
548.8070	41.76397264	83.61717
552.8610	42.07248027	83.49286
552.8710	42.07324126	83.90722
553.3430	42.10916026	84.65306
554.0250	42.16106016	84.52875
551.8420	41.99493481	84.32157
551.8910	41.99866369	84.57019
556.5890	42.35617944	84.65306
557.6880	42.43981286	84.69449
560.9490	42.68797353	84.61162
571.6090	43.49919487	84.48732
575.6890	43.80968108	83.90722
576.3810	43.86234198	83.36855
580.8950	44.2058554	83.70004
581.5640	44.25676601	84.44588
587.3740	44.69890447	85.23316
598.6010	45.55327426	85.77182
600.1910	45.67427256	86.31049
592.9210	45.12102874	86.18618
585.7750	44.57722127	86.31049
579.8380	44.12541817	86.18618
580.0690	44.14299717	85.77182
579.0100	44.06240773	85.52321
583.2380	44.38415668	84.28014
587.3480	44.69692588	83.24425
